global_id,ID,название,IsNetObject,OperatingCompany,TypeObject,округ,район,адрес,телефон,SeatsCount,SocialPrivileges,Longitude_WGS84,Latitude_WGS84,geoData
637533273,000027292,Тануки,да,Тануки,ресторан,Южный,Орехово-Борисово Северное,"город Москва, улица Генерала Белова, дом 15",(495) 394-35-39,60,нет,37.7178146557638810,55.6211818524919720,"{type=Point, coordinates=[37.71781465576388, 55.62118185249197]}"
637533290,000073264,Ресторан «Kings»,нет,,ресторан,Южный,Царицыно,"город Москва, Бакинская улица, дом 6",(499) 725-73-40,60,нет,37.6564618574209000,55.6263102051113000,"{type=Point, coordinates=[37.6564618574209, 55.6263102051113]}"
637533292,000083457,Ресторан «Территория»,да,Территория,ресторан,Южный,Бирюлёво Восточное,"город Москва, Липецкая улица, дом 22",(499) 372-50-63,48,нет,37.6718065406135100,55.5931165418652850,"{type=Point, coordinates=[37.67180654061351, 55.593116541865285]}"
637533393,000026271,Семь красавиц,нет,,ресторан,Южный,Орехово-Борисово Южное,"город Москва, Тамбовская улица, дом 4",(495) 399-19-09,95,нет,37.7447912967505000,55.6049157855190000,"{type=Point, coordinates=[37.7447912967505, 55.604915785519]}"
637533399,000026586,Ресторан «Мтиели»,нет,,ресторан,Южный,Москворечье-Сабурово,"город Москва, Каширское шоссе, дом 40, корпус 2",(495) 324-31-01,80,нет,37.6617672668516000,55.6489309895317000,"{type=Point, coordinates=[37.6617672668516, 55.6489309895317]}"
637533407,000026267,Ресторан «Усадьба»,нет,,ресторан,Южный,Орехово-Борисово Северное,"город Москва, Дольская улица, дом 10, строение 1",(495) 343-15-10,30,нет,37.6832960775296900,55.6183041343443850,"{type=Point, coordinates=[37.68329607752969, 55.618304134344385]}"
637533411,000025383,Бургон,нет,,ресторан,Южный,Зябликово,"город Москва, Ореховый бульвар, дом 55, корпус 1",(499) 725-46-37,145,нет,37.7509779212235660,55.6148771054972430,"{type=Point, coordinates=[37.750977921223566, 55.61487710549724]}"
637533440,000026585,Ресторан «Очаг гурманов»,нет,,ресторан,Южный,Москворечье-Сабурово,"город Москва, Каширское шоссе, дом 51, корпус 3",(495) 344-78-09,42,нет,37.6908209549002000,55.6402063824166000,"{type=Point, coordinates=[37.6908209549002, 55.6402063824166]}"
637533509,000080992,Ресторан «Кухня Полли»,нет,,ресторан,Южный,Бирюлёво Восточное,"город Москва, Бирюлёвская улица, дом 38, строение 3",(919) 800-70-20,85,нет,37.6634982301012330,55.5880169840930380,"{type=Point, coordinates=[37.66349823010123, 55.58801698409304]}"
637533529,00120402,Нияма Пицца Пи,да,Нияма,ресторан,Центральный,Таганский,"город Москва, Воронцовская улица, дом 2/10, строение 1",(495) 911-32-02,99,нет,37.6544822495460490,55.7407024752287230,"{type=Point, coordinates=[37.65448224954605, 55.74070247522872]}"
637533537,000083961,Ресторан Dewars Powerhouse,нет,,ресторан,Центральный,Таганский,"город Москва, Гончарная улица, дом 7/4, строение 1",(495) 698-05-50,95,нет,37.6462353481892580,55.7458510055588120,"{type=Point, coordinates=[37.64623534818926, 55.74585100555881]}"
637533538,000025826,Черная кошка,нет,,ресторан,Центральный,Таганский,"город Москва, Воронцовская улица, дом 6, строение 1",(495) 911-73-15,60,нет,37.6550437204744100,55.7397630975532440,"{type=Point, coordinates=[37.65504372047441, 55.739763097553244]}"
637533540,000026741,Семь пятниц,нет,,ресторан,Центральный,Таганский,"город Москва, Воронцовская улица, дом 6, строение 1",(495) 911-79-00,225,нет,37.6551529394217000,55.7397939401603000,"{type=Point, coordinates=[37.6551529394217, 55.7397939401603]}"
637533662,000025014,Клуб Дорффман,нет,,ресторан,Центральный,Таганский,"город Москва, улица Большие Каменщики, дом 1",(495) 679-86-88,80,нет,37.6449176298208000,55.7497825262535000,"{type=Point, coordinates=[37.6449176298208, 55.7497825262535]}"
637533677,000081144,Никола Тесла,нет,,ресторан,Юго-Восточный,Южнопортовый,"город Москва, Шарикоподшипниковская улица, дом 38, строение 1",(495) 950-58-57,70,нет,37.6771557699927090,55.7144056487871920,"{type=Point, coordinates=[37.67715576999271, 55.71440564878719]}"
637533688,000026935,НИКАЛА,нет,,ресторан,Северо-Восточный,Ярославский,"город Москва, Ярославское шоссе, дом 10",(495) 226-90-20,80,нет,37.6817175375066000,55.8535267710389000,"{type=Point, coordinates=[37.6817175375066, 55.8535267710389]}"
